user_id,spend_category,payment_type,spend_amount,neucoins_redeemed,applied,spend_7d,spend_30d,spend_60d,spend_6m,spend_1y,tx_7d,tx_30d,tx_60d,tx_6m,tx_1y,days_since_last_tx,spend_share_grocery,spend_share_travel,spend_share_electronics,spend_share_fashion,top_3_categories,pct_credit_card_spend,is_credit_carded,recency_score,bureau_score,income_range
user_1,Electronics,OtherCard,15037,187,1,1689,6231,6824,34670,66472,9,9,13,41,53,58,0.3311736245186659,0.264573140909119,0.3916543746634537,0.012598859908761367,"Electronics,Groceries,Travel",0.2774267348009791,1,0.14466517663899506,353,10L-20L
user_2,Fashion,UPI,7512,81,0,3267,5380,7154,17755,37243,5,24,50,127,204,8,0.29669444996348576,0.4101612456806153,0.07265503887057673,0.2204892654853222,"Travel,Groceries,Fashion",0.6428020501620825,1,0.7659283383646487,702,6L-10L
user_3,Groceries,UPI,5520,1,1,4406,10285,11220,22924,52937,7,12,36,86,211,58,0.08479208464663819,0.7126222664122199,0.007643576211946115,0.19494207272919564,"Travel,Fashion,Groceries",0.6928011986299087,1,0.14466517663899506,617,6L-10L
user_4,Electronics,NeuCard,13416,384,0,261,5634,9442,9467,58668,7,21,28,96,193,8,0.09638747102610884,0.6591945096157308,0.10238147380600109,0.14203654555215942,"Travel,Fashion,Electronics",0.8709675998625426,1,0.7659283383646487,648,3L-6L
user_5,Electronics,OtherCard,2979,302,1,1442,5412,5743,21127,37529,8,21,21,51,76,45,0.19270835796409339,0.696049753077786,0.06722516058771305,0.04401672837040769,"Travel,Groceries,Electronics",0.34233408246099073,1,0.22313016014842982,742,6L-10L
user_6,Fashion,UPI,17508,196,0,405,2396,10318,24023,45228,7,26,45,94,242,7,0.3024938273069616,0.14762341910385118,0.5161770506951492,0.03370570289403786,"Electronics,Groceries,Travel",0.7697723073855856,1,0.7918895663367816,879,10L-20L
user_7,Groceries,NeuCard,1781,403,0,2190,3257,5959,29811,55860,1,15,37,56,103,50,0.39566444444277193,0.10103009082973016,0.06497677205106378,0.4383286926764341,"Fashion,Groceries,Travel",0.5613558241893379,1,0.18887560283756183,839,6L-10L
user_8,Groceries,OtherCard,19908,10,1,4437,11701,17590,40384,52637,9,22,53,107,172,34,0.2753482905570555,0.4297931432350761,0.11320727441689422,0.18165129179097403,"Travel,Groceries,Fashion",0.8828364906780791,1,0.3219582715376759,581,10L-20L
user_9,Electronics,NeuCard,12877,233,0,243,1820,6874,15526,34516,0,4,14,15,101,17,0.09708997937497908,0.7731495182058742,0.06454085788772626,0.06521964453142043,"Travel,Groceries,Fashion",0.5278121082956208,1,0.5674136687970038,659,10L-20L
user_10,Travel,Wallet,5913,385,0,4585,5596,9464,29612,37458,9,14,52,76,154,4,0.10867454419631337,0.2063941343463074,0.07218013086006576,0.6127511905973134,"Fashion,Travel,Groceries",0.5176298283979672,1,0.8751733190429475,307,3L-6L
